Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2023-1078;Queja;Contestado;2023-12-14;Servicio 012;SERVICIO PUBLICO DE EMPLEO;BURGOS;Atención deficiente
2023-1080;Queja;Remitido Órgano;2023-12-14;WEB;CONSEJERIA DE EDUCACION;LEÓN;Calefacción IES Valles de Luna (Sta. María del Páramo) sin reparar
2023-1074;Queja;Anulada;2023-12-14;WEB;CONSEJERIA DE EDUCACION;LEÓN;Anulada por ser una queja igual a otra
2023-1077;Queja;Contestado;2023-12-14;Servicio 012;CONSEJERIA DE EDUCACION;SALAMANCA;Imposibilidad de asistencia de los padres a las actuaciones de navidad de alumnos de infantil
2023-1079;Queja;Contestado;2023-12-14;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja del trato recibido por el personal de la Biblioteca a la sala de lectura con los grupos de niños de Primaria del CEIP San Jose
2023-1073;Queja;Remitido Órgano;2023-12-13;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Disconformidad trato
2023-1069;Queja;Contestado;2023-12-13;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Desacuerdo con información GTSS
2023-1070;Queja;Contestado;2023-12-13;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Demora valoración
2023-1071;Queja;Contestado;2023-12-13;ESCRITO;SERVICIO PUBLICO DE EMPLEO;ZAMORA;Falta de aviso de la renovación
2023-1072;Queja;Inadmitida;2023-12-13;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SEGOVIA;Competencia otra Administración
2023-1062;Queja;Contestado;2023-12-12;OAMR;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Viaje a Egipto
2023-1063;Queja;Contestado;2023-12-12;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-1065;Queja;Contestado;2023-12-12;Servicio 012;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;VALLADOLID;
2023-1066;Queja;Remitido Órgano;2023-12-12;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Revisión sistema de selección
2023-1067;Queja;Remitido Órgano;2023-12-12;WEB;CONSEJERIA DE EDUCACION;LEÓN;Poner en conocimiento irregularidades alumna matriculada en 2º Educación Infantil en el colegio Divina Pastora de León
2023-1059;Queja;Contestado;2023-12-12;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Anónima
2023-1060;Queja;Contestado;2023-12-12;OAMR;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Viaje a Egipto
2023-1061;Queja;Contestado;2023-12-12;OAMR;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Viaje a Egipto
2023-1064;Queja;Contestado;2023-12-12;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Solicita personal adecuado
2023-1068;Sugerencia Interna;Contestado;2023-12-12;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-1058;Queja;Contestado;2023-12-11;OAMR;CONSEJERIA DE EDUCACION;AVILA;Trato inadecuado a la hora de recoger pertenencias de su hijo
2023-1057;Queja;Contestado;2023-12-10;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;El interesado se queja porque no se han comenzado las obras del Convento de la Hoz
2023-1056;Queja;Contestado;2023-12-08;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Bolsa de empleo Cuerpo Administrativo
2023-1055;Queja;Inadmitida;2023-12-07;WEB;;VALLADOLID;
2023-1053;Queja;Contestado;2023-12-07;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;No le atienden sin cita previa después de esperar media hora
2023-1054;Queja;Contestado;2023-12-07;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Trato inadecuado de la seguridad
2023-1051;Queja;Contestado;2023-12-06;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Se queja del funcionamiento de las quejas y sugerencias
2023-1052;Queja;Prestacional;2023-12-06;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2023-1048;Queja;Contestado;2023-12-05;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Residencia COLISEE Villagonzalo
2023-1047;Queja;Contestado;2023-12-05;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja al tener que presentar documento de herencia por ordenador, alega que ella no puede hacerlo, e igualmente por no ser informada con tiempo del transcurso plazos
2023-1049;Queja;Contestado;2023-12-05;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Incidente con menor en la piscina de Rio Esgueva
2023-1050;Sugerencia;Contestado;2023-12-05;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Sugiere poner calefacción, falcoys, en las oficinas de registro y oficinas hall de la Consejería
2023-1045;Queja;Contestado;2023-12-04;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-1046;Queja;Contestado;2023-12-04;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-1043;Queja;Contestado;2023-12-02;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Solicita mas actividades y/o con mas frecuencia
2023-1044;Queja;Inadmitida;2023-12-02;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SALAMANCA;Inadmitida por versar sobre dos materias diferentes
2023-1039;Queja;Contestado;2023-12-01;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;
2023-1041;Queja;Prestacional;2023-12-01;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Cita Unidad del Dolor
2023-1042;Sugerencia;Contestado;2023-12-01;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere la creación de un buzón de registro
2023-1040;Queja;Prestacional;2023-12-01;WEB;GERENCIA REGIONAL DE SALUD;VALLADOLID;
2023-1037;Queja;Contestado;2023-11-30;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;No obligación realizar trámites de la empresa por vía telemática
2023-1038;Queja;Contestado;2023-11-30;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SEGOVIA;La interesada se queja sobre la comunicación que a su juicio no existe entre la Residencia y los particulares
2023-1036;Queja;Contestado;2023-11-30;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;Peligro en la carretera Baltanás a Antigüedad por la caída de ramas de los árboles
2023-1035;Queja;Contestado;2023-11-30;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-1034;Queja;Prestacional;2023-11-29;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2023-1033;Queja;Contestado;2023-11-28;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por falta de actuación ante proliferación de nidos de procesionaria en Aguilar de Campóo (PA)
2023-1031;Queja;Contestado;2023-11-27;WEB;CONSEJERIA DE EDUCACION;AVILA;Reitración contestación de queja contra funcionaria
2023-1030;Queja;Contestado;2023-11-27;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Respuesta a la contestación de queja formulada por mal funcionamiento del servicio de comedor del CEIP la Cañada de Ampudia
2023-1032;Queja;Contestado;2023-11-27;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Trato inadecuado residencia Las Merindades
2023-1029;Queja;Contestado;2023-11-26;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Reclamación sobre servicio de teleasistencia
2023-1028;Sugerencia;Prestacional;2023-11-25;WEB;CONSEJERIA DE SANIDAD;SEGOVIA;
2023-1023;Queja;Contestado;2023-11-24;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;
2023-1024;Queja;Contestado;2023-11-24;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;
2023-1025;Queja;Contestado;2023-11-24;Servicio 012;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;Al utilizar la aplicación RICE no se permite utilizar la tarjeta monedero
2023-1020;Queja;Contestado;2023-11-24;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja tras visualización de vídeo en relación a un espectáculo taurino en Medinaceli  (Soria)
2023-1026;Queja;Remitido Órgano;2023-11-24;WEB;CONSEJERIA DE EDUCACION;LEÓN;Solicitud copia expediente, acceso correspondiente por ley y otros asuntos relacionados con la nueva situación de los padres. Asimismo, solicita informe técnico del  arquitecto técnico
2023-1019;Queja;Anulada;2023-11-24;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;
2023-1021;Queja;Contestado;2023-11-24;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Demora contestación
2023-1022;Queja;Contestado;2023-11-24;LIBRO;CONSEJERIA DE EDUCACION;ZAMORA;Trato recibido
2023-1027;Queja;Remitido Órgano;2023-11-24;WEB;CONSEJERIA DE EDUCACION;LEÓN;Solicitud copia expediente, acceso correspondiente por ley y otros asuntos relacionados con la nueva situación de los padres. Asimismo, solicita informe técnico del  arquitecto técnico
2023-1017;Queja;Contestado;2023-11-23;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-1018;Queja;Contestado;2023-11-23;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Esta queja se debe gestionar por la Gerencia Territorial de Servicios Sociales-Decreto 4/2021
2023-1016;Sugerencia;Contestado;2023-11-22;Servicio 012;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;Poder recuperar datos para insertarlos a los nuevos formularios y la posibilidad de autocompletarlos. Dar información si ha habido cambio de formularios.
2023-1014;Queja;Anulada;2023-11-22;OAMR;CONSEJERIA DE LA PRESIDENCIA;SORIA;
2023-1015;Queja;Contestado;2023-11-22;WEB;SERVICIO PUBLICO DE EMPLEO;ZAMORA;Trato recibido
2023-1012;Queja;Contestado;2023-11-21;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Mal funcionamiento comedor escolar
2023-1013;Queja;Contestado;2023-11-21;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Vivienda protección pública
2023-1010;Queja;Contestado;2023-11-20;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;PALENCIA;Retraso resolución expediente instalación placas solares y falta de información del S.T. Industria
2023-1009;Queja;Anulada;2023-11-20;OAMR;;SERVICIOS CENTRALES;Anulada prueba
2023-1011;Queja;Contestado;2023-11-20;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Mastines sueltos en Casa Forestal Riocamba
2023-1008;Queja;Contestado;2023-11-19;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;"El interesado se queja por la actuación realizada por la dirección del CRA San Rafael en la apertura de ""una posible sitación de acoso escolar"" en la que se implica a su hija"
2023-1007;Queja;Contestado;2023-11-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Transporte a demanda
2023-1005;Queja;Contestado;2023-11-18;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SEGOVIA;El interesado se queja porque no se ha contestado a su solicitud de autorización de autoconsumo fotovoltaico
2023-1006;Queja;Contestado;2023-11-18;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SEGOVIA;El interesado se queja del retraso en la tramitación de su solicitud de autorización de instalación fotovoltaica de autoconsumo
2023-1002;Queja;Contestado;2023-11-17;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SORIA;Descontento por el viaje realizado a Portugal organizado por el Club de los 60
2023-1000;Queja;Contestado;2023-11-17;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Determinar competencia de servicios mínimos
2023-1001;Queja;Contestado;2023-11-17;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Certificado de discapacidad
2023-1003;Sugerencia;Contestado;2023-11-17;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado sugiere que se mejore la carretera SG-322 por su mal estado
2023-1004;Sugerencia Interna;Contestado;2023-11-17;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Matricula on-line y seguro escolar
2023-0998;Queja;Contestado;2023-11-16;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Queja sobre comedor escolar
2023-0999;Queja;Contestado;2023-11-16;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Retrasos resolución ayudas eficiencia energética
2023-0994;Queja;Contestado;2023-11-15;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de que la carretera le produce daños en su vivienda
2023-0995;Queja;Contestado;2023-11-15;OAMR;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Desacuerdo con tramitación administrativa
2023-0996;Queja;Contestado;2023-11-15;ESCRITO;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Funcionamiento irregular del Servicio INTERBUS ZARATÁN
2023-0997;Queja;Prestacional;2023-11-15;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Accesibilidad extintores en edificio SSCC
2023-0992;Queja;Contestado;2023-11-14;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de que tarda en llegarle la tarteja de transportes metropolitano
2023-0993;Queja;Contestado;2023-11-14;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;ZAMORA;Desearía más internet
2023-0991;Queja;Contestado;2023-11-14;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;AVILA;Falta personal en registro de la SAC Barco de Ávila
2023-0985;Queja;Contestado;2023-11-13;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Cita previa
2023-0989;Queja;Contestado;2023-11-13;ESCRITO;CONSEJERIA DE SANIDAD;SORIA;Falta de médico para vacunar para viajar al Malabo
2023-0986;Queja;Contestado;2023-11-13;Servicio 012;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;Errores en formulario para formalizar la comunicación de apertura de centro de trabajo
2023-0987;Queja;Contestado;2023-11-13;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de que no le gestionan la tarjeta metropolitana que tiene solicitada
2023-0988;Queja;Contestado;2023-11-13;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Conducta inapropiada de una funcionaria pública
2023-0990;Sugerencia;Inadmitida;2023-11-13;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;
2023-0982;Queja;Contestado;2023-11-10;Servicio 012;SERVICIO PUBLICO DE EMPLEO;AVILA;Llamadas de teléfono no cogidas Oficina de Ávila
2023-0984;Sugerencia;Contestado;2023-11-10;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Justificante registro
2023-0983;Queja;Remitido Órgano;2023-11-10;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Descontento con viaje realizado a Grecia
2023-0981;Queja;Contestado;2023-11-10;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de que no le entregan la tarjeta metropolitana solicitada
2023-0977;Queja;Contestado;2023-11-09;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0980;Queja;Inadmitida;2023-11-09;OAMR;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;AVILA;Daños ocasionados en vivienda por maquinaria de obra
2023-0978;Queja;Contestado;2023-11-09;WEB;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;Retrasos en el reconocimiento de grado de discapacidad
2023-0979;Queja;Contestado;2023-11-09;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Retraso en la tramitación de expedientes en el registro de maquinaria agrícola
2023-0974;Queja;Contestado;2023-11-08;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por información recibida con respecto a ayuda mi primera vivienda
2023-0976;Queja;Remitido Órgano;2023-11-08;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Servicio de teleasistencia
2023-0975;Queja;Inadmitida;2023-11-08;Servicio 012;CONSEJERIA DE EDUCACION;LEÓN;No figuran datos personales
2023-0971;Queja;Contestado;2023-11-07;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Disconformidad en adjudicación parcelas concentración parcelaria en término municial Santas Martas
2023-0970;Queja;Contestado;2023-11-07;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por denegación de ayuda al alquiler de vivienda 2022
2023-0972;Queja;Contestado;2023-11-07;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Ruido en la biblioteca
2023-0973;Sugerencia;Contestado;2023-11-07;WEB;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;Ayuda para la labor de educación y conservación del patrimonio y cultura para herrero que custodia la Herrería de Compludo
2023-0969;Queja;Contestado;2023-11-06;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Trato inadecuado de la ordenanza
2023-0967;Queja;Contestado;2023-11-06;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Utilización animales en fiestas del ESCARRETE
2023-0968;Queja;Contestado;2023-11-06;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Solicitud de expedición de título
2023-0966;Queja;Inadmitida;2023-11-04;WEB;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;
2023-0959;Queja;Contestado;2023-11-03;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Mal funcionamiento de la tarjeta de biblioteca
2023-0962;Sugerencia;Contestado;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Mejora de la explicación sobre el viaje a Grecia
2023-0963;Sugerencia;Contestado;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Descontento con comida durante el viaje a Grecia, se repitieron los espaguetis
2023-0964;Sugerencia;Inadmitida;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Repetida
2023-0965;Sugerencia;Inadmitida;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Repetida
2023-0955;Queja;Contestado;2023-11-03;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Cita previa - ST Hacienda
2023-0961;Queja;Prestacional;2023-11-03;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;Caída con resultado de fractura de cadera en residencia tercera edad
2023-0956;Queja;Contestado;2023-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Pide servicios mínimos
2023-0957;Queja;Contestado;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Ausencia de servicios mínimos
2023-0958;Queja;Contestado;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Desacuerdo con viaje organizado sobre precio cobrado por excursión
2023-0960;Queja;Inadmitida;2023-11-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Repetida
2023-0953;Queja;Contestado;2023-11-02;ESCRITO;SERVICIO PUBLICO DE EMPLEO;SERVICIOS CENTRALES;Mal funcionamiento oficina virtual de empleo
2023-0951;Queja;Contestado;2023-11-02;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Solicitando información en Vivienda del S.T. Movilidad de León, la funcionaria se dirigió a ella de modo inapropiado
2023-0952;Queja;Contestado;2023-11-02;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Trato inapropiado por parte de una funcionaria del S.T. Movilidad-Vivienda
2023-0954;Sugerencia;Contestado;2023-11-02;Servicio 012;CONSEJERIA DE CULTURA Y TURISMO;BURGOS;Actividades biblioteca
2023-0948;Queja;Contestado;2023-11-01;WEB;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar Ruta 69
2023-0949;Queja;Contestado;2023-11-01;WEB;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar
2023-0950;Queja;Prestacional;2023-11-01;WEB;CONSEJERIA DE SANIDAD;AVILA;
2023-0945;Queja;Contestado;2023-10-31;WEB;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar Ruta 69
2023-0947;Sugerencia;Contestado;2023-10-31;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Carreteras
2023-0943;Queja;Contestado;2023-10-31;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-0944;Queja;Contestado;2023-10-31;OAMR;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar
2023-0946;Queja;Remitido Órgano;2023-10-31;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Crítica sobre viaje realizado a Huelva
2023-0939;Queja;Contestado;2023-10-30;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Transportes
